hour,month,average_power_for_condo,min_power_for_condo,max_power_for_condo,power
18,6,357.7,214.86,520.07,458.595
19,6,357.7,214.86,520.07,455.05
20,6,357.7,214.86,520.07,451.245
21,6,357.7,214.86,520.07,427.59
22,6,357.7,214.86,520.07,397.33
23,6,357.7,214.86,520.07,369.9
0,7,357.7,214.86,520.07,386.95
1,7,357.7,214.86,520.07,372.084
2,7,357.7,214.86,520.07,362.84
3,7,357.7,214.86,520.07,358.31
4,7,357.7,214.86,520.07,362.274
5,7,357.7,214.86,520.07,382.87
6,7,357.7,214.86,520.07,407
7,7,357.7,214.86,520.07,428.781
8,7,357.7,214.86,520.07,437.475
9,7,357.7,214.86,520.07,448.464
10,7,357.7,214.86,520.07,460.48
11,7,357.7,214.86,520.07,469.28
12,7,357.7,214.86,520.07,466.73
13,7,357.7,214.86,520.07,469.62
14,7,357.7,214.86,520.07,465.32
15,7,357.7,214.86,520.07,469.568
16,7,357.7,214.86,520.07,486.41
17,7,357.7,214.86,520.07,509.646
18,7,357.7,214.86,520.07,518.92
19,7,357.7,214.86,520.07,514.31
20,7,357.7,214.86,520.07,509.44
21,7,357.7,214.86,520.07,487.047
22,7,357.7,214.86,520.07,451.99
23,7,357.7,214.86,520.07,416.71
0,8,357.7,214.86,520.07,374.477
1,8,357.7,214.86,520.07,360.53
2,8,357.7,214.86,520.07,350.644
3,8,357.7,214.86,520.07,345.45
4,8,357.7,214.86,520.07,348.73
5,8,357.7,214.86,520.07,364.96
6,8,357.7,214.86,520.07,384.72
7,8,357.7,214.86,520.07,405.392
8,8,357.7,214.86,520.07,417.68
9,8,357.7,214.86,520.07,431.405
10,8,357.7,214.86,520.07,443.243
11,8,357.7,214.86,520.07,446.31
12,8,357.7,214.86,520.07,446.24
13,8,357.7,214.86,520.07,444.22
14,8,357.7,214.86,520.07,442.7
15,8,357.7,214.86,520.07,447.25
16,8,357.7,214.86,520.07,464.02
17,8,357.7,214.86,520.07,483.83
18,8,357.7,214.86,520.07,491.67
19,8,357.7,214.86,520.07,490.26
20,8,357.7,214.86,520.07,487.742
21,8,357.7,214.86,520.07,464.342
22,8,357.7,214.86,520.07,432.87
23,8,357.7,214.86,520.07,401.7265
0,9,357.7,214.86,520.07,357.12
1,9,357.7,214.86,520.07,344.66
2,9,357.7,214.86,520.07,337.455
3,9,357.7,214.86,520.07,335.12
4,9,357.7,214.86,520.07,338.22
5,9,357.7,214.86,520.07,358.33
6,9,357.7,214.86,520.07,384.75
7,9,357.7,214.86,520.07,400.786
8,9,357.7,214.86,520.07,403.085
9,9,357.7,214.86,520.07,413.68
10,9,357.7,214.86,520.07,425.44
11,9,357.7,214.86,520.07,428.235
