hour,month,average_power_summer,average_power_winter,average_power_spring,average_power_fall,power
23,4,1.189,0.9228,0.9178,0.9703,0.713978194
0,5,1.189,0.9228,0.9178,0.9703,0.731199329
1,5,1.189,0.9228,0.9178,0.9703,0.702180598
2,5,1.189,0.9228,0.9178,0.9703,0.676768242
3,5,1.189,0.9228,0.9178,0.9703,0.672295219
4,5,1.189,0.9228,0.9178,0.9703,0.687168018
5,5,1.189,0.9228,0.9178,0.9703,0.743234554
6,5,1.189,0.9228,0.9178,0.9703,0.814193458
7,5,1.189,0.9228,0.9178,0.9703,0.851915013
8,5,1.189,0.9228,0.9178,0.9703,0.847190383
9,5,1.189,0.9228,0.9178,0.9703,0.852138664
10,5,1.189,0.9228,0.9178,0.9703,0.879591837
11,5,1.189,0.9228,0.9178,0.9703,0.896868885
12,5,1.189,0.9228,0.9178,0.9703,0.887950797
13,5,1.189,0.9228,0.9178,0.9703,0.895834498
14,5,1.189,0.9228,0.9178,0.9703,0.880793961
15,5,1.189,0.9228,0.9178,0.9703,0.902155438
16,5,1.189,0.9228,0.9178,0.9703,0.942960581
17,5,1.189,0.9228,0.9178,0.9703,1.008803467
18,5,1.189,0.9228,0.9178,0.9703,1.037170814
19,5,1.189,0.9228,0.9178,0.9703,1.045834498
20,5,1.189,0.9228,0.9178,0.9703,1.036583729
21,5,1.189,0.9228,0.9178,0.9703,0.968073805
22,5,1.189,0.9228,0.9178,0.9703,0.88498742
23,5,1.189,0.9228,0.9178,0.9703,0.800754822
0,6,1.189,0.9228,0.9178,0.9703,0.965138384
1,6,1.189,0.9228,0.9178,0.9703,0.926055354
2,6,1.189,0.9228,0.9178,0.9703,0.902907464
3,6,1.189,0.9228,0.9178,0.9703,0.889222812
4,6,1.189,0.9228,0.9178,0.9703,0.902991334
5,6,1.189,0.9228,0.9178,0.9703,0.959253564
6,6,1.189,0.9228,0.9178,0.9703,1.019317864
7,6,1.189,0.9228,0.9178,0.9703,1.070883422
8,6,1.189,0.9228,0.9178,0.9703,1.081450937
9,6,1.189,0.9228,0.9178,0.9703,1.107548225
10,6,1.189,0.9228,0.9178,0.9703,1.13831423
11,6,1.189,0.9228,0.9178,0.9703,1.144897959
12,6,1.189,0.9228,0.9178,0.9703,1.145023763
13,6,1.189,0.9228,0.9178,0.9703,1.134791725
14,6,1.189,0.9228,0.9178,0.9703,1.138859379
15,6,1.189,0.9228,0.9178,0.9703,1.144897959
16,6,1.189,0.9228,0.9178,0.9703,1.183058429
17,6,1.189,0.9228,0.9178,0.9703,1.253760134
18,6,1.189,0.9228,0.9178,0.9703,1.282065977
19,6,1.189,0.9228,0.9178,0.9703,1.272155438
20,6,1.189,0.9228,0.9178,0.9703,1.261518032
21,6,1.189,0.9228,0.9178,0.9703,1.195387196
22,6,1.189,0.9228,0.9178,0.9703,1.110791166
23,6,1.189,0.9228,0.9178,0.9703,1.034106793
0,7,1.189,0.9228,0.9178,0.9703,1.081772435
1,7,1.189,0.9228,0.9178,0.9703,1.040212469
2,7,1.189,0.9228,0.9178,0.9703,1.014369583
3,7,1.189,0.9228,0.9178,0.9703,1.00170534
4,7,1.189,0.9228,0.9178,0.9703,1.012787252
5,7,1.189,0.9228,0.9178,0.9703,1.070366229
6,7,1.189,0.9228,0.9178,0.9703,1.137824993
7,7,1.189,0.9228,0.9178,0.9703,1.198716802
